SDSS-i,,SDSS-r,,SDSS-g,
X,Y,X,Y,X,Y
0.13560420467234685,0.8705881410788088,0.1279225602460422,0.938769388499074,0.11454468551534377,0.964887323782031
0.15389993839911562,0.8943594450435768,0.1453836592183715,0.8932857783038846,0.13168772323532854,0.950243043876958
0.17507334519740683,0.9131179639387503,0.16711589583065342,0.9265373895504294,0.15951413564637523,0.95141999703849
0.19891745931285995,0.9488288151840369,0.18986647838286305,0.9779417971487634,0.2220755086224737,1.0241776559516986
0.2260120705703021,0.980425116409275,0.21601863597497623,0.9536088638155418,0.2850353523323284,1.0849133730873324
0.2567940333070965,1.0158401853740786,0.24511742568001044,1.0352118753319077,0.46308102836514115,1.3125375559212142
0.2931179707066579,1.0611565485745973,0.2785160803200297,1.0546147442420502,0.6107021524236089,1.668040333070537
0.3364838368984249,1.1476747469148774,0.3148121367569911,1.0967231713212677,0.6796359552829586,1.8272803772414852
0.38097023103548483,1.192027969523561,0.3594861718676447,1.1779035488169285,0.7985730108058908,2.250747681255362
0.4327815833978274,1.2805269548859135,0.4084180858713461,1.2347576741234372,0.9448883655329225,2.6741331584738335
0.49153333304779595,1.4347287541701141,0.46391638981112643,1.3534499204565034,1.2390615850742208,3.5172014504187565
0.5581512339872272,1.6488456850308144,0.5268829314000354,1.5145288600753792,1.4692484054007258,4.109811559431894
0.6336960675283558,1.9119913612699202,0.5983133623340172,1.7176461091996336,1.761754325514814,4.841522674698408
0.7226535975073096,2.2047952994772766,0.6793086660137558,1.974237503669455,2.001898699692847,5.437187650739955
0.8228735502771188,2.557718830823714,0.74742871098949,2.1887571083959596,2.3365328498183717,6.131533469071941
0.9268248679177121,2.891596974245087,0.8408958642117399,2.446375660608621,2.546075466561566,6.513732792603836
1.0408478165253616,3.212285502817582,0.9454759579709482,2.811666527850819,2.898465313062895,7.1381167008655755
1.173555632623606,3.546835024374241,1.0463239641903705,3.1109999605834364,3.351265489857143,7.751141458848691
1.3303948641236316,3.9727940517210145,1.1669199870486147,3.504479840654061,3.8900908256246542,8.344320945979847
1.4888049189607324,4.40803097490739,1.3238755429772862,3.9945626507720835,4.6389685317765466,8.981572117818834
1.622620319332628,4.706084716377377,1.4596687923564073,4.333213106339004,5.490775393217193,9.53843755503975
1.8048255674680265,5.152491507159885,1.5911273168498887,4.609174731493817,7.013075304028032,10.331176847749743
2.0355486938082654,5.668513137829754,1.784450424077186,5.071673266320173,7.663402693042005,10.620278708939486
2.269832444951918,6.105971434822573,2.0016629735358307,5.473114728096934,8.18451288329566,10.930862539244018
2.516756782652078,6.502656374107479,2.205773167337542,5.978447467945768,9.775073834374963,11.51412734633208
2.80675820685631,6.9039711441908445,2.431666539277811,6.362053947179179,12.518263296652686,12.140961512522855
3.1118587643330105,7.323537639854662,2.711697521625202,6.782004668895025,14.680625096851536,12.562216083611021
3.4749805228125745,7.578500720700671,3.024002646952646,7.199357995981213,18.716618108284774,13.253034485171142
3.9243411149617122,8.123898354846865,3.3721779350434185,7.625568012952142,21.793987719843855,13.600860644920443
4.504288439514559,8.608662683286004,3.8041524886856846,8.070515204988064,26.806649104412024,14.068817859485323
5.05232980257209,9.052102269523829,4.518953022910477,8.707657673300291,41.548102937045385,15.074383938752758
5.608985791421147,9.341481156026939,5.127393458562597,9.160692235436942,46.235362557334156,15.250362690618049
6.086705543806467,9.531931251151839,6.091997657616499,9.739405463389494,54.663549924319724,15.559753213489605
6.920720092516989,9.818191177159342,7.154996376266029,10.295358142190247,69.6783027334546,15.954482265067705
8.325496572982365,10.15103819813002,8.406043934962934,10.75819658991081,82.8624477911973,16.254224044981235
9.786622300072777,10.444964799786854,9.871628922825709,11.351047568699169,109.95989829730826,16.777813252071276
11.110205649939221,10.736107017433419,11.799575374307027,11.865426826249617,129.7684670964052,17.050501047754423
12.614884435303246,10.976733586917444,14.190643414292516,12.284789152694069,150.1981193283568,17.34417400700884
14.322772627901855,11.229553588716566,17.06323703161757,12.757802581324944,205.00958750052538,18.13567778005013
16.26420759299579,11.438825617961772,20.52212657941388,13.159440882939954,267.7265082980505,18.940154509612746
18.465954920371733,11.695129457565207,24.246230029153452,13.68077938823141,326.05668754234034,19.5369218744257
20.963806044253257,11.9798846392372,29.329035219967956,14.10368800740167,395.87550861875167,20.12713605495391
23.79989862654091,12.259994703836773,34.657875178696074,14.567212811039587,433.09065938152753,20.363872560642612
27.012863549897908,12.616998045688684,40.15193267470412,14.868811162549767,,
30.662310094617304,12.946794273259297,43.401118401024,15.054711413357763,,
34.79402164272381,13.371068864142117,53.72811305373229,15.508861492681524,,
39.26071057436483,13.74148681172148,63.59832270606732,15.807061064798345,,
44.042001325358,14.127177411857273,80.49975101476925,16.218215532676197,,
49.28644918010175,14.567705483916678,91.41224951549563,16.424643843908775,,
55.64355619008606,14.94914997664428,103.80662833857461,16.623464359741035,,
63.24310362588295,15.389082355076171,117.87076456954344,16.850155578007808,,
71.35382945130205,15.794214257919949,133.83667332906015,17.085264654774114,,
79.59094944454162,16.137470225839287,148.48657742868176,17.2960571071201,,
90.36506469990289,16.39516760056445,171.48503874425614,17.670739633290673,,
102.61101349350571,16.613149224320438,206.2088940405854,18.128424175582566,,
116.51538051112858,16.834034046246686,245.084185651259,18.60540620379053,,
132.32496930855473,17.006261266839367,296.66091884714206,19.11893021148218,,
150.26163467315646,17.215184912304146,348.18177181211513,19.593051749939555,,
170.6283982224579,17.42628808068796,406.61758907546306,20.111536339107985,,
192.60124848089154,17.688339897863976,469.45243259473654,20.580077137831758,,
246.77283924274425,18.28283695414804,,,,
283.3598726083429,18.6400640359688,,,,
336.7213210417752,19.170174590692532,,,,
400.0642427289993,19.75167175302989,,,,
453.98651701557463,20.16649021272957,,,,
