NUMBER X_IMAGE Y_IMAGE mean med std sky
10981 1318.3895 2985.3862 900.1326251812837 897.9797681323475 6.267362362428277 885.9682776583422
10985 609.3795 2999.0608 915.7321480283642 913.0238168715322 10.992430192537062 886.6191977945011
11154 1078.7504 2988.9346 902.8621722852512 903.4354168222333 5.741693336440454 888.034333124112
11228 924.9524 2979.1204 927.7678907806888 916.8474127084921 23.784576349191596 886.1318595945438
11293 1734.4144 2961.5969 1113.5693451900315 1113.3761317852063 55.401370835599494 887.4765126444835
11360 1105.9899 2966.5188 952.0381388540599 946.0660318877585 33.56389532552484 888.4727757033792
11383 1008.5241 2901.5034 909.9829485226036 909.659068147179 10.559529437006464 887.3665988834629
11411 1819.568 2965.5864 898.6029392847967 898.234035323094 3.8599856415389793 886.4058008759744
11471 1348.5474 2949.1829 911.0099621479523 909.8721790616814 8.255963539543018 885.3833350383957
11478 1939.9355 2943.9451 1494.342791863631 1480.0043399320089 136.41612959676803 887.9360726145436
11489 1250.8956 2958.4207 891.5075540448878 891.7232951931318 3.4615714069555623 885.4590663623983
11496 1020.6262 2919.1272 1091.8632981970468 1062.290088988062 79.52002085612075 888.5868325131822
11615 1200.2314 2945.3979 901.012801257721 901.2947451880691 4.37120665018295 886.5138383898177
11681 1580.9316 2929.5317 1022.2136522308944 1007.7010432028728 50.99445260320134 886.7679461789264
11882 1542.4515 2909.9722 997.6157896602438 996.4116879834447 28.70472073552707 886.0356129935037
11963 1991.5035 2904.0283 903.22659483371 902.7459710652133 4.999422913024701 888.2715941316495
12001 1085.0522 2906.8213 896.3513901049694 895.7186454467751 5.0748865544529425 888.7151397346846
12238 1128.0103 2880.3435 898.8068818917327 898.7064222562865 4.771766450762939 886.7201084486986
12241 867.1756 2863.2869 1080.4854833372913 1077.6385300547706 55.281500371490154 886.6127649781944
12251 1400.215 2872.2051 926.4759940939099 923.8482791687782 13.4960135796926 884.9830504248051
12288 1853.0905 2873.3447 920.8136551241556 918.2589882445609 8.728695519391959 886.8219617510993
12328 888.5053 2862.78 899.0371163242932 899.150291268607 4.206436366222359 886.6233605633342
12383 1599.9525 2861.6609 927.2448682304158 924.5485595699505 18.34813482669901 885.8479528066766
12384 782.5391 2860.8938 953.5030424417723 951.102353878068 16.673687389760147 886.8094451891917
12503 1226.2014 2850.98 906.7179938311607 905.4825584897646 9.03153605153887 885.9458841315122
12531 1089.9551 2842.1865 894.994701249395 895.0861736346916 5.0439367086127085 886.456773917284
12774 1047.6853 2850.644 902.9525501636924 901.79373294196 6.866679394167249 886.8783414113925
12797 1497.9969 2826.1128 910.5516669392788 907.9903345766161 15.526124019163088 885.3440689970091
12799 1013.3437 2825.8997 910.496548348014 907.3766640430804 12.435651959127318 885.9578225560608
13161 680.2413 2792.6121 913.328493146881 909.0387678548823 16.011102245315044 886.5159704688822
13193 1003.1182 2783.6414 906.1330361570854 905.2679712043671 10.201963995495452 885.3567568180547
13197 1711.0043 2787.0637 906.8004112916519 902.3820445864228 11.09141805595554 885.551862221774
13231 1433.7734 2777.4829 933.0073562244023 931.8922631633959 11.79316555750269 885.0968985023114
13305 1799.7428 2771.6387 923.6978898387299 925.4396490918285 12.162179939423918 886.1049518566452
13313 1514.1965 2775.3125 904.8709721476177 903.1779017473909 5.794577352974781 885.052104437775
13401 1605.3907 2766.6694 902.0137218300404 898.2828791712728 11.352010734592408 885.1264868631995
13435 1133.4686 2781.0693 920.0719382138011 917.6409815089644 8.529326610708155 885.3939658839099
13782 740.0341 2720.7842 908.7994276381439 907.7489539337523 11.412606990303109 887.0721171070309
13807 1334.5098 2723.1472 928.5867654064649 924.8474281919896 20.27568795636589 884.9025872290849
13816 1920.2247 2713.1411 1139.3845376660709 1134.3686720823907 71.91909092103035 887.8361530890229
13976 1838.2966 2707.1516 903.5417235153033 901.2611367633982 6.431935039720116 886.0778950263345
